ZCTA5CE20,rat_sightings,population,poverty_rate,borough,pop_white,pop_black,rats_per_1000,white_prop,black_prop,white_pct,black_pct,poverty_pct
11109,18,7948,0.0293155510820332,Queens,5705,214,2.264720684448918,0.7177906391545043,0.02692501258178158,71.77906391545042,2.692501258178158,2.93155510820332
11201,2726,70674,0.1013041210224308,Brooklyn,49289,9164,38.57146899850016,0.6974134759600419,0.12966578939921328,69.74134759600419,12.966578939921328,10.130412102243081
11203,1159,74817,0.1692217223035159,Brooklyn,5837,64893,15.491131694668324,0.07801702821551251,0.8673563494927623,7.801702821551252,86.73563494927623,16.92217223035159
11204,587,79800,0.217177944988298,Brooklyn,46236,2015,7.355889724310777,0.5793984962406015,0.02525062656641604,57.939849624060145,2.525062656641604,21.7177944988298
11205,1619,51676,0.2504707335344496,Brooklyn,32174,13548,31.329824289805714,0.6226101091415744,0.2621719947364347,62.261010914157445,26.217199473643472,25.047073353444958
11206,2199,93020,0.3441398661774228,Brooklyn,49758,21103,23.640077402709093,0.5349172221027736,0.22686519028165986,53.49172221027736,22.686519028165986,34.41398661774228
11207,3580,93198,0.2491871857118085,Brooklyn,13731,59310,38.41284147728492,0.1473314878001674,0.6363870469323376,14.733148780016739,63.63870469323376,24.91871857118085
11208,2468,105428,0.1868269304208355,Brooklyn,10663,48131,23.40934097203779,0.10114011458056683,0.45652957468604166,10.114011458056684,45.652957468604164,18.68269304208355
11209,1491,71004,0.1227373318958179,Brooklyn,50968,4557,20.998816968058136,0.7178187144386232,0.06417948284603685,71.78187144386231,6.417948284603685,12.27373318958179
11210,632,57915,0.1101425066555306,Brooklyn,18270,33799,10.912544245877578,0.31546231546231546,0.583596650263317,31.546231546231546,58.3596650263317,11.01425066555306
11211,2520,65314,0.2032777811942685,Brooklyn,46570,4912,38.58284594420798,0.7130171173102244,0.07520592828490064,71.30171173102244,7.520592828490064,20.32777811942685
11212,889,89020,0.3356221909474735,Brooklyn,11574,71483,9.98651988317232,0.13001572680296564,0.8029993259941586,13.001572680296563,80.29993259941585,33.56221909474735
11213,1989,68846,0.2258159494751718,Brooklyn,20255,43053,28.890567353223137,0.2942073613572321,0.6253522354239898,29.420736135723207,62.535223542398974,22.581594947517182
11214,642,89397,0.19167437349153,Brooklyn,41058,3114,7.181449041914158,0.45927715695157556,0.03483338367059297,45.92771569515756,3.4833383670592974,19.167437349152998
11215,2700,70441,0.0555786277907459,Brooklyn,57788,3218,38.32994988713959,0.820374497806675,0.045683621754376,82.0374497806675,4.5683621754376,5.55786277907459
11216,3736,60685,0.1600695594567737,Brooklyn,23639,32576,61.56381313339376,0.38953612919172775,0.5368048117327181,38.95361291917278,53.68048117327181,16.00695594567737
